crop,month,market,temperature,rainfall,price
Wheat,1,Meerut,18,20,2350
Wheat,2,Meerut,21,15,2420
Wheat,3,Meerut,25,10,2500
Wheat,4,Meerut,30,5,2450
Wheat,1,Delhi,18,20,2450
Wheat,2,Delhi,21,15,2550
Wheat,3,Delhi,25,10,2650
Wheat,4,Delhi,30,5,2580
Rice,6,Meerut,30,80,2800
Rice,7,Meerut,29,120,2900
Rice,8,Meerut,28,150,3000
Rice,9,Meerut,27,110,2950
Rice,6,Delhi,30,80,2950
Rice,7,Delhi,29,120,3050
Rice,8,Delhi,28,150,3150
Rice,9,Delhi,27,110,3100
Potato,1,Meerut,15,10,1200
Potato,2,Meerut,18,8,1350
Potato,3,Meerut,23,5,1450
Potato,1,Delhi,15,10,1300
Potato,2,Delhi,18,8,1450
Potato,3,Delhi,23,5,1550
